x,y,z
41,3,0.1953218135764387
42,3,0.19064254426660474
43,3,0.18618222825795688
44,3,0.1819258489950905
45,3,0.17785973240677228
46,3,0.17397140016325674
47,3,0.17024944176970921
48,3,0.16668340273402785
49,3,0.16326368650062142

0,4,2.331392119370106
1,4,4.321677383638822
2,4,3.601130074162824
3,4,2.618565221722054
4,4,2.009804260905322
5,4,1.619570397552905
6,4,1.3525452013640908
7,4,1.1596047558156628
8,4,1.0141341852701182
9,4,0.9007287912054962
10,4,0.809931503963447
11,4,0.735642139010371
12,4,0.6737601352087944
13,4,0.6214320470015162
14,4,0.5766132208982204
15,4,0.537801367603024
16,4,0.5038685425990899
17,4,0.47395173972072385
18,4,0.447379626936515
19,4,0.42362225905262096
20,4,0.4022557977819084
21,4,0.3829372725666972
22,4,0.3653862055011141
23,4,0.349371020579488
24,4,0.3346988466398331
25,4,0.321207766230035
26,4,0.3087608531165111
27,4,0.2972415353052735
28,4,0.2865499524506531
29,4,0.27660006770559137
30,4,0.2673173579686905
31,4,0.2586369518738931
32,4,0.2505021175155145
33,4,0.24286302565632417
34,4,0.2356757316392668
35,4,0.22890133220611614
36,4,0.22250526316450098
37,4,0.21645671121436597
38,4,0.21072811886888732
39,4,0.20529476573055516
40,4,0.20013441273505037
41,4,0.19522699859118683
42,4,0.1905543796998832
43,4,0.1861001064593738
44,4,0.1818492301555325
45,4,0.1777881356692202
46,4,0.17390439606324234
47,4,0.17018664578289744
48,4,0.16662446974943917
49,4,0.1632083060708018

0,5,0.5577162224100974
1,5,1.4145055217020912
2,5,2.082559764263156
3,5,1.958803211380969
4,5,1.689732738749241
5,5,1.445464920485735
6,5,1.2488061840140379
7,5,1.0932901111396853
8,5,0.9693552482501799
9,5,0.869148051329942
10,5,0.7868618354892627
11,5,0.7182951157998372
12,5,0.6603970358900769
13,5,0.6109249848247323
14,5,0.5682055399050783
15,5,0.5309705770116485
16,5,0.49824468800172106
17,5,0.46926705806458646
18,5,0.44343652883141876
